date,fat,weight
2015-12-20,0,204.2
2015-12-29,28.944000244140625,195.5
2015-12-30,28.77400016784668,196.3
2015-12-31,26.704999923706055,193.5
2015-12-31,28.035999298095703,195.6
2016-01-01,27.11199951171875,194.5
2016-01-01,27.11199951171875,194.5
2016-01-02,26.586999893188477,195.1
2016-01-02,26.26099967956543,194.6
2016-01-03,24.610000610351562,193.9
2016-01-04,25.40399932861328,193.5
2016-01-04,28.5049991607666,195.1
2016-01-05,25.93000030517578,195.1
2016-01-06,28.447999954223633,192.2
2016-01-07,27.392000198364258,192.2
2016-01-08,26.774999618530273,191.8
2016-01-08,27.55299949645996,191.3
2016-01-08,28.277999877929688,191.7
2016-01-09,27.530000686645508,192.8
2016-01-10,25.18600082397461,191.7
2016-01-10,23.58300018310547,191.7
2016-01-11,23.666000366210938,191.7
2016-01-12,25.006999969482422,192
2016-01-13,24.39299964904785,191.6
2016-01-14,24.509000778198242,190.9
2016-01-15,26.055999755859375,191.6
2016-01-16,24.422000885009766,191.1
2016-01-17,23.82699966430664,190
2016-01-18,24.207000732421875,189.7
2016-01-18,0,189.7
2016-01-19,25.003000259399414,190
2016-01-20,25.27400016784668,189.3
2016-01-21,25.121000289916992,189
2016-01-22,24.760000228881836,188.6
2016-01-22,24.28700065612793,188.1
2016-01-23,24.209999084472656,187.7
2016-01-24,24.29599952697754,187.4
2016-01-25,23.836999893188477,187.9
2016-01-26,23.507999420166016,187.3
2016-01-27,23.222999572753906,187.3
2016-01-28,22.993999481201172,186.1
2016-01-29,23.04199981689453,187.1
2016-01-30,23.02199935913086,185.6
2016-01-31,23.167999267578125,186.2
2016-01-31,23.525999069213867,185.2
2016-01-31,23.167999267578125,186.2
2016-01-31,23.525999069213867,185.2
2016-02-01,23.815000534057617,184.9
2016-02-02,23.437000274658203,185.3
2016-02-03,23.652000427246094,186.9
2016-02-04,23.2549991607666,186.3
2016-02-05,22.947999954223633,184.9
2016-02-06,23.520999908447266,183.9
2016-02-07,23.42300033569336,184.4
2016-02-08,24.04800033569336,183.6
2016-02-09,24.36400032043457,185.3
2016-02-10,24.277999877929688,184.5
2016-02-11,23.70599937438965,183.3
2016-02-12,23.69700050354004,181.7
2016-02-12,25.6560001373291,181.7
2016-02-13,25.5939998626709,182.7
2016-02-14,25.15999984741211,181.7
2016-02-15,24.72100067138672,182.7
2016-02-16,24.389999389648438,181.3
2016-02-16,24.25,181.3
2016-02-17,24.101999282836914,181
2016-02-18,23.816999435424805,182.6
2016-02-19,22.06999969482422,181.4
2016-02-19,21.357999801635742,181.1
2016-02-20,21.756999969482422,181.9
2016-02-21,22.55299949645996,181.2
2016-02-22,22.26300048828125,180.8
2016-02-23,22.277999877929688,181.9
2016-02-24,22.207000732421875,180.8
2016-02-25,22.086000442504883,179.3
2016-02-25,22.18600082397461,179.7
2016-02-25,0,179.7
2016-02-26,22.100000381469727,180.4
2016-02-26,21.913000106811523,180.4
2016-02-27,21.719999313354492,183.9
2016-02-28,21.798999786376953,182.9
2016-02-29,21.93199920654297,182.5
2016-03-01,21.725000381469727,181.1
2016-03-01,22.094999313354492,180.1
2016-03-01,21.725000381469727,181.1
2016-03-01,22.094999313354492,180.1
2016-03-02,22.042999267578125,182.4
2016-03-03,21.80900001525879,182.4
2016-03-04,22.68899917602539,182.7
2016-03-05,22.4950008392334,181.8
2016-03-05,22.339000701904297,181.1
2016-03-05,22.062000274658203,181.7
2016-03-06,21.968000411987305,180.7
2016-03-06,22.22599983215332,180.7
2016-03-07,22.3439998626709,182.2
2016-03-07,22.04800033569336,181.9
2016-03-08,21.812000274658203,180.9
2016-03-08,21.659000396728516,180.4
2016-03-09,21.80299949645996,182.5
2016-03-09,23.492000579833984,182.2
2016-03-09,24.107999801635742,181.7
2016-03-09,24.542999267578125,181.7
2016-03-10,24.091999053955078,180.9
2016-03-11,22.9060001373291,182.2
2016-03-12,21.93899917602539,180.2
2016-03-13,23.354000091552734,183.4
2016-03-14,24.843000411987305,182.4
2016-03-14,24.43000030517578,182.8
2016-03-15,24.649999618530273,182.1
2016-03-16,24.238000869750977,180.3
2016-03-16,23.833999633789062,179.5
2016-03-17,23.312999725341797,180
2016-03-17,22.927000045776367,180.9
2016-03-17,23.016000747680664,178.5
2016-03-18,21.29599952697754,179.5
2016-03-18,19.538999557495117,179.9
2016-03-19,19.819000244140625,181.5
2016-03-20,20.22800064086914,183
2016-03-21,20.165000915527344,182.1
2016-03-22,19.783000946044922,184.8
2016-03-23,19.582000732421875,186
2016-03-24,19.906999588012695,183.8
2016-03-24,19.775999069213867,183.1
2016-03-25,19.93899917602539,182.3
2016-03-26,20.340999603271484,184.2
2016-03-27,20.434999465942383,182.8
2016-03-28,20.549999237060547,182.8
2016-03-29,20.43400001525879,182
2016-03-29,20.445999145507812,181.7
2016-03-30,20.39699935913086,181.3
2016-03-30,20.551000595092773,181.3
2016-03-30,20.354999542236328,180.6
2016-03-31,20.385000228881836,180.6
2016-03-31,20.05299949645996,180.6
2016-03-31,20.010000228881836,181.8
2016-03-31,20.385000228881836,180.6
2016-03-31,20.05299949645996,180.6
2016-03-31,20.010000228881836,181.8
2016-04-01,20.020000457763672,180.8
2016-04-01,19.676000595092773,177.8
2016-04-02,19.816999435424805,177.4
2016-04-02,21.07200050354004,176.4
2016-04-02,21.111000061035156,180.6
2016-04-03,20.163000106811523,178.8
2016-04-04,20.069000244140625,180.1
2016-04-05,19.270000457763672,181.7
2016-04-06,19.683000564575195,179.8
2016-04-07,20.753000259399414,178.6
2016-04-08,20.30299949645996,178.1
